City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Port Elizabeth,ZA,2022-05-07 22:01:05,-33.918,25.5701,60.31,78,100,1.01,overcast clouds
60,Aitape,PG,2022-05-07 22:01:06,-3.1374,142.3475,80.53,85,69,4.88,broken clouds
61,Lixourion,GR,2022-05-07 22:01:07,38.2019,20.4314,62.42,73,100,3.49,overcast clouds
62,Port Arthur,CN,2022-05-07 22:01:07,38.8,121.2667,53.82,75,100,15.52,overcast clouds
63,Kapaa,US,2022-05-07 21:54:14,22.0752,-159.319,80.58,78,86,5.99,overcast clouds
64,Mvuma,ZW,2022-05-07 22:01:08,-19.2792,30.5283,62.04,58,92,3.76,overcast clouds
65,Padang,ID,2022-05-07 21:53:13,-0.9492,100.3543,77.77,82,100,3.2,light rain
66,Bluff,NZ,2022-05-07 22:01:09,-46.6,168.3333,57.79,98,100,6.02,light rain
67,Sao Joao Da Barra,BR,2022-05-07 22:01:10,-21.6403,-41.0511,71.35,85,0,12.57,clear sky
68,Flinders,AU,2022-05-07 21:53:14,-34.5833,150.8552,56.37,65,0,7.0,clear sky
69,Narsaq,GL,2022-05-07 21:57:37,60.9167,-46.05,42.96,62,100,8.46,overcast clouds
70,Tiverton,GB,2022-05-07 22:01:11,50.9,-3.4833,56.52,83,0,4.61,clear sky
71,Challapata,BO,2022-05-07 22:01:12,-18.9,-66.7667,53.76,33,21,2.66,few clouds
72,Adet,ET,2022-05-07 22:01:12,11.2644,37.4888,66.38,54,89,4.68,light rain
73,Yaan,NG,2022-05-07 22:01:13,7.3833,8.5667,79.59,78,100,7.67,light rain
74,Sur,OM,2022-05-07 21:58:24,22.5667,59.5289,84.22,59,0,11.48,clear sky
75,Kano,NG,2022-05-07 21:59:54,12.0001,8.5167,91.58,27,98,7.7,overcast clouds
76,Fort Saint James,CA,2022-05-07 22:01:14,54.4333,-124.25,50.05,42,100,5.77,overcast clouds
77,Yenagoa,NG,2022-05-07 22:01:14,4.9247,6.2642,77.83,94,98,3.96,overcast clouds
78,Egvekinot,RU,2022-05-07 22:01:15,66.3167,-179.1667,24.35,96,100,5.93,overcast clouds
79,Victoria,HK,2022-05-07 22:00:49,22.2855,114.1577,76.32,76,100,8.01,overcast clouds
80,Saint-Francois,FR,2022-05-07 22:01:16,46.4154,3.9054,53.04,76,0,1.14,clear sky
81,Nyeri,KE,2022-05-07 22:01:17,-0.4201,36.9476,58.05,97,79,2.64,broken clouds
82,Chuy,UY,2022-05-07 22:01:17,-33.6971,-53.4616,59.34,81,30,3.4,scattered clouds
83,Clyde River,CA,2022-05-07 21:53:04,70.4692,-68.5914,19.63,93,75,2.3,broken clouds
84,Ancud,CL,2022-05-07 21:52:58,-41.8697,-73.8203,56.53,88,100,16.91,overcast clouds
85,Barcelos,PT,2022-05-07 22:01:19,41.5388,-8.6151,67.84,71,79,2.62,broken clouds
86,Tilichiki,RU,2022-05-07 22:01:19,60.4667,166.1,31.48,99,100,5.88,light snow
87,Busselton,AU,2022-05-07 22:01:20,-33.65,115.3333,60.46,64,82,3.27,broken clouds
88,Namibe,AO,2022-05-07 22:01:21,-15.1961,12.1522,72.7,70,1,3.06,clear sky
89,Nishihara,JP,2022-05-07 22:02:21,26.1842,127.7558,75.25,97,100,10.36,overcast clouds
90,Cayenne,GF,2022-05-07 21:57:27,4.9333,-52.3333,82.09,1,75,6.91,broken clouds
91,Uttarkashi,IN,2022-05-07 22:02:23,30.7333,78.45,65.08,37,4,7.02,clear sky
92,Minot,US,2022-05-07 21:58:08,48.2325,-101.2963,71.8,59,100,26.28,overcast clouds
93,San Patricio,US,2022-05-07 22:02:23,28.017,-97.5169,101.17,47,0,16.91,clear sky
94,Lieksa,FI,2022-05-07 22:02:24,63.3167,30.0167,34.2,96,87,7.63,overcast clouds
95,Talnakh,RU,2022-05-07 22:02:24,69.4865,88.3972,11.21,83,4,12.64,clear sky
96,Labuhan,ID,2022-05-07 22:02:25,-6.8844,112.2051,78.33,88,65,5.79,broken clouds
97,Inhambane,MZ,2022-05-07 21:57:29,-23.865,35.3833,70.88,82,0,5.66,clear sky
98,Castro,BR,2022-05-07 22:02:26,-24.7911,-50.0119,53.74,73,63,3.67,broken clouds
99,Saint-Leu,RE,2022-05-07 22:02:27,-21.15,55.2833,72.46,70,14,5.23,few clouds
100,Nikolskoye,RU,2022-05-07 22:02:27,59.7035,30.7861,53.49,94,100,6.51,light rain
101,Chisec,GT,2022-05-07 22:02:28,15.8167,-90.2833,94.41,46,57,3.89,broken clouds
102,Kaberamaido,UG,2022-05-07 22:02:29,1.7389,33.1594,68.56,86,53,3.78,broken clouds
103,Kysyl-Syr,RU,2022-05-07 22:02:29,63.8986,122.7617,35.4,97,100,7.65,overcast clouds
104,Chokurdakh,RU,2022-05-07 21:56:58,70.6333,147.9167,16.57,93,99,11.79,light snow
105,Coro,VE,2022-05-07 22:02:30,11.4045,-69.6734,82.35,78,100,16.71,overcast clouds
106,Jamestown,US,2022-05-07 22:02:31,42.097,-79.2353,63.52,35,0,13.8,clear sky
107,Yanggu,CN,2022-05-07 22:02:31,36.1106,115.7753,57.31,35,100,2.75,overcast clouds
108,Beringovskiy,RU,2022-05-07 22:02:32,63.05,179.3167,34.09,87,100,8.43,overcast clouds
109,Provideniya,RU,2022-05-07 21:55:45,64.3833,-173.3,33.53,87,100,7.11,overcast clouds
110,Husavik,IS,2022-05-07 21:53:01,66.0449,-17.3389,39.49,73,100,1.63,overcast clouds
111,Wakkanai,JP,2022-05-07 22:02:33,45.4094,141.6739,40.03,86,100,22.39,moderate rain
112,Chokwe,MZ,2022-05-07 22:02:33,-24.5333,32.9833,67.5,71,0,5.73,clear sky
113,Puerto Colombia,CO,2022-05-07 22:02:34,10.9878,-74.9547,81.79,79,47,13.91,scattered clouds
114,Manggar,ID,2022-05-07 22:02:35,-2.8833,108.2667,80.69,82,95,5.14,overcast clouds
115,Bella Vista,US,2022-05-07 22:02:35,36.4295,-94.2316,82.47,45,0,9.22,clear sky
116,Port Alfred,ZA,2022-05-07 21:56:57,-33.5906,26.891,64.18,76,100,3.0,overcast clouds
117,Bengkulu,ID,2022-05-07 22:02:36,-3.8004,102.2655,77.45,82,100,3.53,overcast clouds
118,Varhaug,NO,2022-05-07 22:02:37,58.6147,5.6457,41.49,62,98,25.46,overcast clouds
119,Harindanga,IN,2022-05-07 22:02:38,22.0383,88.3214,81.39,78,0,4.54,clear sky
120,Tabou,CI,2022-05-07 22:02:38,4.423,-7.3528,81.46,81,100,7.81,overcast clouds
121,Tha Mai,TH,2022-05-07 22:02:39,12.6214,102.0048,81.07,89,100,5.23,overcast clouds
122,Lulea,SE,2022-05-07 22:02:39,65.5842,22.1547,39.27,56,100,13.8,overcast clouds
123,Prado,BR,2022-05-07 22:02:40,-17.3411,-39.2208,73.98,91,68,10.78,light rain
124,Les Herbiers,FR,2022-05-07 22:02:41,46.8667,-1.0167,55.11,94,5,7.02,clear sky
125,Mercedes,AR,2022-05-07 22:02:41,-34.6515,-59.4307,66.78,64,34,7.87,scattered clouds
126,Banjarmasin,ID,2022-05-07 21:53:05,-3.3244,114.591,77.14,97,35,3.09,scattered clouds
127,Paramonga,PE,2022-05-07 22:02:42,-10.6667,-77.8333,67.95,81,25,8.81,scattered clouds
128,College,US,2022-05-07 22:02:42,64.8569,-147.8028,54.0,69,88,1.99,overcast clouds
129,Nuuk,GL,2022-05-07 22:02:43,64.1835,-51.7216,34.41,80,0,10.36,clear sky
130,Torbay,CA,2022-05-07 22:02:44,47.6666,-52.7314,41.29,75,99,3.0,overcast clouds
