City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carutapera,BR,2022-05-03 19:39:38,-1.195,-46.02,77.34,93,100,5.46
1,Chokurdakh,RU,2022-05-03 19:39:39,70.6333,147.9167,27.16,96,100,3.94
2,Kapaa,US,2022-05-03 19:35:53,22.0752,-159.319,79.12,78,40,16.11
3,Rikitea,PF,2022-05-03 19:39:40,-23.1203,-134.9692,77.54,77,100,17.52
4,Hermanus,ZA,2022-05-03 19:35:20,-34.4187,19.2345,62.15,93,0,7.67
5,Camacha,PT,2022-05-03 19:39:41,33.0833,-16.3333,60.22,63,20,14.97
6,Albany,US,2022-05-03 19:39:41,42.6001,-73.9662,65.88,57,100,4.0
7,San Juan,AR,2022-05-03 19:39:42,-31.5375,-68.5364,74.86,18,0,5.48
8,Jamestown,US,2022-05-03 19:39:42,42.097,-79.2353,62.24,77,100,8.05
9,Longyearbyen,SJ,2022-05-03 19:39:43,78.2186,15.6401,13.84,62,75,13.8
10,Hami,CN,2022-05-03 19:39:44,42.8,93.45,70.95,13,28,1.41
11,Lebu,CL,2022-05-03 19:37:40,-37.6167,-73.65,55.63,85,16,17.27
12,Malinyi,TZ,2022-05-03 19:39:44,-8.9333,36.1333,70.39,85,98,2.19
13,Moerai,PF,2022-05-03 19:39:45,-22.4333,-151.3333,77.68,85,100,20.09
14,Ushuaia,AR,2022-05-03 19:39:46,-54.8,-68.3,46.02,65,40,26.46
15,Mayor Pablo Lagerenza,PY,2022-05-03 19:39:46,-19.9309,-60.7718,76.57,32,19,9.91
16,Sao Filipe,CV,2022-05-03 19:39:47,14.8961,-24.4956,73.31,76,0,9.66
17,Bambanglipuro,ID,2022-05-03 19:39:48,-7.95,110.2833,78.04,90,100,6.6
18,Ostrovnoy,RU,2022-05-03 19:39:09,68.0531,39.5131,27.27,67,100,21.65
19,Punta Arenas,CL,2022-05-03 19:39:48,-53.15,-70.9167,44.71,70,75,35.68
20,Kahului,US,2022-05-03 19:39:49,20.8947,-156.47,73.85,83,40,17.27
21,Milkovo,RU,2022-05-03 19:39:49,54.7167,158.6167,35.96,75,87,2.33
22,Thompson,CA,2022-05-03 19:39:50,55.7435,-97.8558,28.56,69,75,4.61
23,Busselton,AU,2022-05-03 19:39:51,-33.65,115.3333,55.99,68,84,10.85
24,Alta Floresta,BR,2022-05-03 19:39:51,-9.8756,-56.0861,93.02,59,40,6.91
25,Kaitangata,NZ,2022-05-03 19:39:52,-46.2817,169.8464,48.2,83,6,3.56
26,Luderitz,NA,2022-05-03 19:39:52,-26.6481,15.1594,66.65,56,0,9.46
27,Dzhebariki-Khaya,RU,2022-05-03 19:39:53,62.2167,135.8,28.42,91,100,2.62
28,Millville,US,2022-05-03 19:39:15,39.4021,-75.0393,75.96,54,0,10.36
29,Souillac,MU,2022-05-03 19:39:54,-20.5167,57.5167,77.38,88,40,5.75
30,Tuatapere,NZ,2022-05-03 19:39:54,-46.1333,167.6833,50.2,89,71,4.36
31,Soyo,AO,2022-05-03 19:39:55,-6.1349,12.3689,78.64,88,87,5.86
32,Sao Gotardo,BR,2022-05-03 19:39:56,-19.3111,-46.0489,77.63,51,22,3.09
33,Hobart,AU,2022-05-03 19:39:56,-42.8794,147.3294,57.25,89,100,5.75
34,San Patricio,US,2022-05-03 19:39:57,28.017,-97.5169,84.29,68,100,15.77
35,Butaritari,KI,2022-05-03 19:39:57,3.0707,172.7902,81.93,75,27,12.82
36,Villa Del Rosario,CO,2022-05-03 19:39:58,7.8339,-72.4742,93.58,34,20,20.71
37,Vaini,TO,2022-05-03 19:39:58,-21.2,-175.2,73.56,88,75,5.75
38,Zyryanka,RU,2022-05-03 19:39:59,65.75,150.85,31.95,92,93,4.61
39,Nikolskoye,RU,2022-05-03 19:39:59,59.7035,30.7861,39.87,65,24,8.52
40,Adrar,MR,2022-05-03 19:40:00,20.5022,-10.0711,90.28,13,86,8.55
41,Bara,NG,2022-05-03 19:40:01,10.3744,10.7288,92.23,31,47,4.7
42,Lompoc,US,2022-05-03 19:40:02,34.6391,-120.4579,81.01,54,0,15.99
43,Seoul,KR,2022-05-03 19:39:32,37.5683,126.9778,49.44,61,0,4.61
44,Mataura,NZ,2022-05-03 19:40:02,-46.1927,168.8643,42.48,93,11,2.73
45,Nova Olimpia,BR,2022-05-03 19:37:45,-14.7972,-57.2881,73.35,83,76,10.74
46,Cape Town,ZA,2022-05-03 19:39:01,-33.9258,18.4232,64.9,89,100,12.66
47,San Jeronimo,PE,2022-05-03 19:41:04,-11.9472,-75.2829,58.91,60,95,2.93
48,Saint Anthony,US,2022-05-03 19:41:04,45.0205,-93.218,58.33,47,0,17.27
49,Laguna,US,2022-05-03 19:41:05,38.421,-121.4238,75.63,26,0,18.41
50,Anshun,CN,2022-05-03 19:41:05,26.25,105.9333,56.03,69,100,0.45
51,Clyde River,CA,2022-05-03 19:41:06,70.4692,-68.5914,14.23,79,20,14.97
52,Nyiradony,HU,2022-05-03 19:41:07,47.6975,21.9188,53.02,82,97,4.0
53,Derzhavinsk,KZ,2022-05-03 19:41:07,51.1,66.3167,49.12,39,97,12.17
54,Sept-Iles,CA,2022-05-03 19:39:45,50.2001,-66.3821,46.06,61,20,10.36
55,Kalmunai,LK,2022-05-03 19:41:08,7.4167,81.8167,81.66,79,84,3.51
56,Tiksi,RU,2022-05-03 19:41:09,71.6872,128.8694,3.96,100,88,5.28
57,Saint-Philippe,RE,2022-05-03 19:41:09,-21.3585,55.7679,71.19,83,50,10.65
58,Dengfeng,CN,2022-05-03 19:41:10,34.4553,113.0281,64.2,35,0,4.07
59,Adamovka,RU,2022-05-03 19:41:11,51.5223,59.9396,46.76,47,100,6.69
60,Barrow,US,2022-05-03 19:39:46,71.2906,-156.7887,23.02,86,100,10.36
61,Dikson,RU,2022-05-03 19:41:12,73.5069,80.5464,-2.47,100,64,3.58
62,New Norfolk,AU,2022-05-03 19:41:12,-42.7826,147.0587,56.91,83,100,5.75
63,Bredasdorp,ZA,2022-05-03 19:41:13,-34.5322,20.0403,60.91,97,3,1.5
64,Araouane,ML,2022-05-03 19:41:14,18.9048,-3.5265,85.15,11,70,4.65
65,Anadyr,RU,2022-05-03 19:41:16,64.75,177.4833,14.5,92,80,4.47
66,Khatanga,RU,2022-05-03 19:41:17,71.9667,102.5,13.77,94,100,6.6
67,Broome,US,2022-05-03 19:41:18,42.2506,-75.833,70.7,52,0,9.22
68,Egvekinot,RU,2022-05-03 19:41:18,66.3167,-179.1667,15.98,84,17,11.63
69,Katubao,PH,2022-05-03 19:41:19,5.8892,124.8294,79.18,81,95,4.27
70,Longyan,CN,2022-05-03 19:41:20,25.1072,117.0225,56.46,79,99,3.44
71,Necochea,AR,2022-05-03 19:41:20,-38.5473,-58.7368,60.82,50,0,11.52
72,Port Elizabeth,ZA,2022-05-03 19:41:21,-33.918,25.5701,66.49,96,100,12.66
73,Esperance,AU,2022-05-03 19:41:22,-33.8667,121.9,53.44,62,100,13.56
74,Dayong,CN,2022-05-03 19:41:23,25.0209,118.2898,60.71,60,93,5.12
75,Yumbe,UG,2022-05-03 19:41:23,3.4651,31.2469,69.35,76,67,3.67
76,Lagoa,PT,2022-05-03 19:41:24,39.05,-27.9833,61.7,85,58,11.21
